ID,NOM,VILLE,ETAT,LATITUDE,LONGITUDE,A_DISTANCE_SEULEMENT,NOMBRE_ETUDIANTS,AGE_ENTREE,COUT_MOYEN_ANNEE_ACADEMIE,TAUX_ADMISSION,DEFAUT_PAIEMENT_2ANNEES,DEFAUT_PAIEMENT_3ANNEES
1016100,Loraines Academy & Spa,Saint Petersburg,FL,27.783077,-82.713964,0.0,113,29.847560976,,,0.095,0.016
3100900,Luther Rice College & Seminary,Lithonia,GA,33.698126,-84.123179,0.0,111,38.424418605,8720.0,0.5909,0.053,0.037
150400,State College of Florida-Manatee-Sarasota,Bradenton,FL,27.43804,-82.590887,0.0,2552,24.329946783,17404.0,,0.16,0.074
561200,Manatee Technical College,Bradenton,FL,27.447894,-82.481088,0.0,406,26.715867159,,,0.0,
560800,Traviss Technical College,Lakeland,FL,27.995822,-81.892381,0.0,248,26.883248731,13133.0,,,
4227500,Merryfield School of Pet Grooming,Oakland Park,FL,26.19044,-80.129991,0.0,41,36.24742268,,,,0.022
177201,Trinity International University-Florida,Miami,FL,25.68307,-80.417646,0.0,272,26.555335968,,,0.047,0.044
2316200,Miami Lakes Educational Center and Technical College,Miami Lakes,FL,25.916128,-80.29513,0.0,284,26.67209776,,,0.125,0.0
150600,Miami Dade College,Miami,FL,25.777717,-80.190856,0.0,16321,22.985173164,12378.0,,0.082,0.075
153600,University of Miami,Coral Gables,FL,25.72126,-80.278662,0.0,1372,20.856624319,65298.0,0.3215,0.019,0.019
2501500,Orange Technical College-Mid Florida Campus,Orlando,FL,28.471695,-81.415996,0.0,190,26.292035398,,,0.0,
2283801,Beauty Schools of America-Miami,Miami,FL,25.759918,-80.304459,0.0,1351,31.535371976,,,0.26,0.155
2149900,Paul Mitchell the School-Jacksonville,Jacksonville,FL,30.259433,-81.527515,0.0,322,25.159830269,,,0.07,0.072
150800,North Florida College,Madison,FL,30.473841,-83.420732,0.0,272,24.676950998,9051.0,,0.0,
984100,University of North Florida,Jacksonville,FL,30.27194,-81.509144,0.0,2963,22.839098636,19691.0,0.6108,0.057,0.013
150900,Nova Southeastern University,Fort Lauderdale,FL,26.079337,-80.24248,0.0,1355,24.438069217,47432.0,0.7854,0.023,0.022
151000,Northwest Florida State College,Niceville,FL,30.540017,-86.47456,0.0,1286,25.158452901,11774.0,,0.108,0.175
2513200,Orange Technical College-Orlando Campus,Orlando,FL,28.550422,-81.383783,0.0,152,26.711805556,,,,
884900,Palm Beach Atlantic University,West Palm Beach,FL,26.7044,-80.05247,0.0,723,22.171328671,45037.0,0.9529,0.043,0.036
151200,Palm Beach State College,Lake Worth,FL,26.61256,-80.08653,0.0,5924,23.163148117,9677.0,,0.135,0.082
1065200,Pasco-Hernando State College,New Port Richey,FL,28.2751,-82.646727,0.0,3013,24.49325736,10760.0,,0.14,0.027
151300,Pensacola State College,Pensacola,FL,30.479267,-87.200265,0.0,2000,25.456890013,9495.0,,0.119,0.162
560500,Pinellas Technical College-Clearwater,Clearwater,FL,27.911922,-82.719064,0.0,354,30.555555556,,,0.0,
151400,Polk State College,Winter Haven,FL,28.032411,-81.711873,0.0,2654,24.835129557,12682.0,,0.061,0.101
2554200,Radford M Locklin Technical College,Milton,FL,30.648077,-87.09971,0.0,116,28.172972973,,,,
822300,Saint Vincent de Paul Regional Seminary,Boynton Beach,FL,26.516538,-80.125185,0.0,,,,,0.0,
2511700,Ridge Technical College,Winter Haven,FL,28.076632,-81.654463,0.0,216,26.87761194,27368.0,,,
1257400,Ringling College of Art and Design,Sarasota,FL,27.360931,-82.547803,0.0,211,20.704545455,64554.0,0.6691,0.092,0.027
2524200,Robert Morgan Educational Center and Technical College,Miami,FL,25.599247,-80.390054,0.0,223,26.091644205,,,0.111,
151500,Rollins College,Winter Park,FL,28.592787,-81.349239,0.0,512,22.0975,65487.0,0.6664,0.049,0.024
1254400,First Coast Technical College,Saint Augustine,FL,29.924377,-81.345829,0.0,324,27.646511628,,,,
152600,Saint Leo University,Saint Leo,FL,28.336776,-82.257801,0.0,4286,30.968371976,36961.0,0.6026,0.093,0.073
152800,St Petersburg College,Clearwater,FL,27.90242,-82.717331,0.0,7271,26.653210371,11250.0,,0.175,0.03
